house_ID,Area_m2,volume_m3,representative_image
H_21d16765_7d31269,2247.26,8285.07,H_21d16765_7d31269.jpg
H_26d38570_21d18120,38.95,169.18,H_26d38570_21d18120.jpg
H_34d26872_24d73628,66.83,310.07,H_34d26872_24d73628.jpg
H_29d12177_17d30460,95.9,354.08,H_29d12177_17d30460.jpg
H_39d68168_11d21472,194.15,1225.86,H_39d68168_11d21472.jpg
H_20d17716_23d68478,57.93,219.33,H_20d17716_23d68478.jpg
H_10d74702_44d79136,157.14,680.62,H_10d74702_44d79136.jpg
H_28d78554_57d14574,102.35,404.38,H_28d78554_57d14574.jpg
H_49d36369_31d70488,464.34,2002.89,H_49d36369_31d70488.jpg
H_44d46299_15d52136,75.64,468.01,H_44d46299_15d52136.jpg
H_77d07115_33d65506,48.35,320.99,H_77d07115_33d65506.jpg
